beta :[  8.31037951e+95  -6.52460401e+95   8.49972198e+95] and der [  1.03333291e+97  -8.11285220e+96   1.05687622e+97]
beta :[ -9.50229118e+96   7.46039180e+96  -9.71878999e+96] and der [ -1.18153813e+98   9.27643362e+97  -1.20845812e+98]
beta :[  1.08651521e+98  -8.53039444e+97   1.11127022e+98] and der [  1.35099959e+99  -1.06069011e+99   1.38178057e+99]
beta :[ -1.24234807e+99   9.75386164e+98  -1.27065355e+99] and der [ -1.54476597e+100   1.21281901e+100  -1.57996170e+100]
beta :[  1.42053117e+100  -1.11528040e+100   1.45289634e+100] and der [  1.76632320e+101  -1.38676692e+101   1.80656684e+101]
beta :[ -1.62427008e+101   1.27523888e+101  -1.66127721e+101] and der [ -2.01965714e+102   1.58566321e+102  -2.06567271e+102]
beta :[  1.85723013e+102  -1.45813933e+102   1.89954499e+102] and der [  2.30932537e+103  -1.81308610e+103   2.36194070e+103]
beta :[ -2.12360236e+103   1.66727217e+103  -2.17198620e+103] and der [ -2.64053911e+104   2.07312699e+104  -2.70070077e+104]
beta :[  2.42817887e+104  -1.90639977e+104   2.48350215e+104] and der [  3.01925700e+105  -2.37046410e+105   3.08804731e+105]
5,100,-2.77643911131e+105,2.17982412623e+105,-2.83969709352e+105
beta :[ 0.  0.  0.] and der [-10.96460811   8.70819774  -9.75279203]
beta :[ 10.96460811  -8.70819774   9.75279203] and der [ 250.50800815 -198.18112213  251.15877111]
beta :[-239.54340004  189.47292438 -241.40597909] and der [-5950.02502218  4676.51213698 -6064.6287117 ]
beta :[ 5710.48162214 -4487.0392126   5823.22273262] and der [ 141887.3197238  -111418.98121847  145036.68819028]
beta :[-136176.83810166  106931.94200587 -139213.46545767] and der [-3386123.91312671  2658580.68579614 -3462938.28330827]
beta :[ 3249947.07502505 -2551648.74379027  3323724.8178506 ] and der [ 80819599.7960304  -63453020.57449844  82659641.62361246]
beta :[-77569652.72100535  60901371.83070817 -79335916.80576186] and der [ -1.92903349e+09   1.51451457e+09  -1.97297893e+09]
beta :[  1.85146384e+09  -1.45361320e+09   1.89364302e+09] and der [  4.60430818e+10  -3.61491218e+10   4.70920991e+10]
beta :[ -4.41916180e+10   3.46955086e+10  -4.51984561e+10] and der [ -1.09897867e+12   8.62824710e+11  -1.12401755e+12]
beta :[  1.05478705e+12  -8.28129201e+11   1.07881909e+12] and der [  2.62309598e+13  -2.05943214e+13   2.68286018e+13]
beta :[ -2.51761728e+13   1.97661922e+13  -2.57497827e+13] and der [ -6.26093378e+14   4.91555333e+14  -6.40358196e+14]
beta :[  6.00917205e+14  -4.71789141e+14   6.14608414e+14] and der [  1.49439030e+16  -1.17326831e+16   1.52843827e+16]
beta :[ -1.43429858e+16   1.12608940e+16  -1.46697743e+16] and der [ -3.56688386e+17   2.80041420e+17  -3.64815122e+17]
beta :[  3.42345401e+17  -2.68780526e+17   3.50145348e+17] and der [  8.51361288e+18  -6.68416558e+18   8.70758579e+18]
beta :[ -8.17126748e+18   6.41538506e+18  -8.35744044e+18] and der [ -2.03207077e+20   1.59540934e+20  -2.07836917e+20]
beta :[  1.95035809e+20  -1.53125549e+20   1.99479476e+20] and der [  4.85024590e+21  -3.80800105e+21   4.96075320e+21]
beta :[ -4.65521009e+21   3.65487550e+21  -4.76127372e+21] and der [ -1.15768042e+23   9.08912316e+22  -1.18405684e+23]
beta :[  1.11112832e+23  -8.72363561e+22   1.13644410e+23] and der [  2.76320825e+24  -2.16943638e+24   2.82616478e+24]
beta :[ -2.65209542e+24   2.08220002e+24  -2.71252037e+24] and der [ -6.59536061e+25   5.17811686e+25  -6.74562834e+25]
beta :[  6.33015107e+25  -4.96989686e+25   6.47437630e+25] and der [  1.57421293e+27  -1.23593826e+27   1.61007957e+27]
beta :[ -1.51091142e+27   1.18623929e+27  -1.54533580e+27] and der [ -3.75740843e+28   2.94999790e+28  -3.84301667e+28]
beta :[  3.60631728e+28  -2.83137397e+28   3.68848309e+28] and der [  8.96836622e+29  -7.04119928e+29   9.17270017e+29]
beta :[ -8.60773450e+29   6.75806188e+29  -8.80385186e+29] and der [ -2.14061352e+31   1.68062789e+31  -2.18938494e+31]
beta :[  2.05453617e+31  -1.61304727e+31   2.10134643e+31] and der [  5.10932106e+32  -4.01140485e+32   5.22573108e+32]
beta :[ -4.90386744e+32   3.85010012e+32  -5.01559644e+32] and der [ -1.21951774e+34   9.57461730e+33  -1.24730306e+34]
beta :[  1.17047907e+34  -9.18960729e+33   1.19714709e+34] and der [  2.91080460e+35  -2.28531649e+35   2.97712394e+35]
beta :[ -2.79375669e+35   2.19342042e+35  -2.85740924e+35] and der [ -6.94765080e+36   5.45470519e+36  -7.10594506e+36]
beta :[  6.66827513e+36  -5.23536315e+36   6.82020413e+36] and der [  1.65829928e+38  -1.30195572e+38   1.69608172e+38]
beta :[ -1.59161653e+38   1.24960209e+38  -1.62787968e+38] and der [ -3.95810983e+39   3.10757159e+39  -4.04829082e+39]
beta :[  3.79894818e+39  -2.98261138e+39   3.88550286e+39] and der [  9.44741015e+40  -7.41730388e+40   9.66265856e+40]
beta :[ -9.06751534e+40   7.11904274e+40  -9.27410828e+40] and der [ -2.25495407e+42   1.77039837e+42  -2.30633061e+42]
beta :[  2.16427891e+42  -1.69920794e+42   2.21358953e+42] and der [  5.38223467e+43  -4.22567343e+43   5.50486272e+43]
beta :[ -5.16580678e+43   4.05575264e+43  -5.28350376e+43] and der [ -1.28465810e+45   1.00860440e+45  -1.31392756e+45]
beta :[  1.23300003e+45  -9.68046878e+44   1.26109252e+45] and der [  3.06628479e+46  -2.40738633e+46   3.13614657e+46]
beta :[ -2.94298478e+46   2.31058164e+46  -3.01003732e+46] and der [ -7.31875852e+47   5.74606744e+47  -7.48550804e+47]
beta :[  7.02446004e+47  -5.51500928e+47   7.18450431e+47] and der [  1.74687708e+49  -1.37149948e+49   1.78667767e+49]
beta :[ -1.67663248e+49   1.31634939e+49  -1.71483263e+49] and der [ -4.16953167e+50   3.27356206e+50  -4.26452967e+50]
beta :[  4.00186842e+50  -3.14192712e+50   4.09304640e+50] and der [  9.95204214e+51  -7.81349804e+51   1.01787880e+52]
beta :[ -9.55185530e+51   7.49930533e+51  -9.76948337e+51] and der [ -2.37540210e+53   1.86496393e+53  -2.42952291e+53]
beta :[  2.27988355e+53  -1.78997088e+53   2.33182808e+53] and der [  5.66972592e+54  -4.45138714e+54   5.79890413e+54]
beta :[ -5.44173757e+54   4.27239005e+54  -5.56572132e+54] and der [ -1.35327792e+56   1.06247886e+56  -1.38411080e+56]
beta :[  1.29886054e+56  -1.01975496e+56   1.32845359e+56] and der [  3.23006993e+57  -2.53597651e+57   3.30366337e+57]
beta :[ -3.10018387e+57   2.43400101e+57  -3.17081801e+57] and der [ -7.70968890e+58   6.05299277e+58  -7.88534532e+58]
beta :[  7.39967051e+58  -5.80959267e+58   7.56826352e+58] and der [  1.84018626e+60  -1.44475792e+60   1.88211279e+60]
beta :[ -1.76618955e+60   1.38666200e+60  -1.80643016e+60] and der [ -4.39224657e+61   3.44841888e+61  -4.49231888e+61]
beta :[  4.21562762e+61  -3.30975268e+61   4.31167586e+61] and der [  1.04836290e+63  -8.23085486e+62   1.07224864e+63]
beta :[ -1.00620662e+63   7.89987959e+62  -1.02913188e+63] and der [ -2.50228384e+64   1.96458070e+64  -2.55929551e+64]
beta :[  2.40166318e+64  -1.88558190e+64   2.45638232e+64] and der [  5.97257348e+65  -4.68915731e+65   6.10865171e+65]
beta :[ -5.73240716e+65   4.50059912e+65  -5.86301348e+65] and der [ -1.42556305e+67   1.11923100e+67  -1.45804287e+67]
beta :[  1.36823898e+67  -1.07422501e+67   1.39941274e+67] and der [  3.40260362e+68  -2.67143531e+68   3.48012805e+68]
beta :[ -3.26577973e+68   2.56401281e+68  -3.34018677e+68] and der [ -8.12150077e+69   6.37631246e+69  -8.30653985e+69]
beta :[  7.79492279e+69  -6.11991118e+69   7.97252117e+69] and der [  1.93847953e+71  -1.52192945e+71   1.98264556e+71]
beta :[ -1.86053030e+71   1.46073034e+71  -1.90292035e+71] and der [ -4.62685776e+72   3.63261565e+72  -4.73227541e+72]
beta :[  4.44080473e+72  -3.48654262e+72   4.54198338e+72] and der [  1.10436104e+74  -8.67050473e+73   1.12952264e+74]
beta :[ -1.05995300e+74   8.32185047e+73  -1.08410281e+74] and der [ -2.63594296e+75   2.06951848e+75  -2.69599989e+75]
beta :[  2.52994766e+75  -1.98629998e+75   2.58758961e+75] and der [  6.29159759e+76  -4.93962794e+76   6.43494442e+76]
beta :[ -6.03860282e+76   4.74099794e+76  -6.17618546e+76] and der [ -1.50170929e+78   1.17901456e+78  -1.53592401e+78]
beta :[  1.44132326e+78  -1.13160458e+78   1.47416216e+78] and der [  3.58435318e+79  -2.81412962e+79   3.66601856e+79]
beta :[ -3.44022086e+79   2.70096916e+79  -3.51860234e+79] and der [ -8.55530950e+80   6.71690223e+80  -8.75023242e+80]
beta :[  8.21128742e+80  -6.44680532e+80   8.39837219e+80] and der [  2.04202312e+82  -1.60322308e+82   2.08854828e+82]
beta :[ -1.95991025e+82   1.53875503e+82  -2.00456455e+82] and der [ -4.87400067e+83   3.82665127e+83  -4.98504919e+83]
beta :[  4.67800965e+83  -3.67277577e+83   4.78459273e+83] and der [  1.16335032e+85  -9.13363843e+84   1.18985592e+85]
beta :[ -1.11657022e+85   8.76636086e+84  -1.14201000e+85] and der [ -2.77674145e+86   2.18006150e+86  -2.84000632e+86]
beta :[  2.66508443e+86  -2.09239789e+86   2.72580532e+86] and der [  6.62766232e+87  -5.20347742e+87   6.77866601e+87]
beta :[ -6.36115388e+87   4.99423763e+87  -6.50608548e+87] and der [ -1.58192286e+89   1.24199144e+89  -1.61796516e+89]
beta :[  1.51831132e+89  -1.19204907e+89   1.55290431e+89] and der [  3.77581087e+90  -2.96444593e+90   3.86183839e+90]
beta :[ -3.62397973e+90   2.84524102e+90  -3.70654796e+90] and der [ -9.01229007e+91   7.07568455e+91  -9.21762477e+91]
beta :[  8.64989210e+91  -6.79116045e+91   8.84696997e+91] and der [  2.15109748e+93  -1.68885900e+93   2.20010777e+93]
beta :[ -2.06459856e+93   1.62094739e+93  -2.11163807e+93] and der [ -5.13434468e+94   4.03105127e+94  -5.25132484e+94]
beta :[  4.92788482e+94  -3.86895653e+94   5.04016103e+94] and der [  1.22549050e+96  -9.62151035e+95   1.25341190e+96]
beta :[ -1.17621165e+96   9.23461470e+95  -1.20301029e+96] and der [ -2.92506068e+97   2.29650915e+97  -2.99170483e+97]
beta :[  2.80743951e+97  -2.20416301e+97   2.87140380e+97] and der [  6.98167790e+98  -5.48142038e+98   7.14074743e+98]
beta :[ -6.70093395e+98   5.26100408e+98  -6.85360705e+98] and der [ -1.66642103e+100   1.30833223e+100  -1.70438853e+100]
beta :[  1.59941169e+100  -1.25572219e+100   1.63585246e+100] and der [  3.97749523e+101  -3.12279136e+101   4.06811790e+101]
beta :[ -3.81755406e+101   2.99721914e+101  -3.90453266e+101] and der [ -9.49368018e+102   7.45363117e+102  -9.70998280e+102]
beta :[  9.11192478e+102  -7.15390926e+102   9.31952954e+102] and der [  2.26599802e+104  -1.77906915e+104   2.31762619e+104]
beta :[ -2.17487878e+104   1.70753006e+104  -2.22443090e+104] and der [ -5.40859493e+105   4.24636926e+105  -5.53182356e+105]
beta :[  5.19110705e+105  -4.07561626e+105   5.30938047e+105] and der [  1.29094989e+107  -1.01354419e+107   1.32036271e+107]
beta :[ -1.23903882e+107   9.72788025e+106  -1.26726890e+107] and der [ -3.08130235e+108   2.41917684e+108  -3.15150629e+108]
beta :[  2.95739847e+108  -2.32189804e+108   3.02477940e+108] and der [  7.35460317e+109  -5.77420962e+109   7.52216938e+109]
beta :[ -7.05886333e+109   5.54201982e+109  -7.21969144e+109] and der [ -1.75543266e+111   1.37821660e+111  -1.79542818e+111]
beta :[  1.68484403e+111  -1.32279640e+111   1.72323127e+111] and der [  4.18995254e+112  -3.28959479e+112   4.28541581e+112]
beta :[ -4.02146814e+112   3.15731515e+112  -4.11309268e+112] and der [ -1.00007837e+114   7.85176576e+113  -1.02286401e+114]
beta :[  9.59863686e+113  -7.53603424e+113   9.81733080e+113] and der [  2.38703597e+115  -1.87409786e+115   2.44142184e+115]
beta :[ -2.29104960e+115   1.79873752e+115  -2.34324854e+115] and der [ -5.69749421e+116   4.47318844e+116  -5.82730508e+116]
beta :[  5.46838925e+116  -4.29331469e+116   5.59298023e+116] and der [  1.35990579e+118  -1.06768250e+118   1.39088968e+118]
beta :[ -1.30522189e+118   1.02474935e+118  -1.33495988e+118] and der [ -3.24588965e+119   2.54839681e+119  -3.31984353e+119]
beta :[  3.11536746e+119  -2.44592187e+119   3.18634754e+119] and der [  7.74744819e+120  -6.08263816e+120   7.92396492e+120]
beta :[ -7.43591145e+120   5.83804597e+120  -7.60533016e+120] and der [ -1.84919883e+122   1.45183383e+122  -1.89133071e+122]
beta :[  1.77483972e+122  -1.39345337e+122   1.81527740e+122] and der [  4.41375822e+123  -3.46530800e+123   4.51432064e+123]
beta :[ -4.23627425e+123   3.32596266e+123  -4.33279290e+123] and der [ -1.05349740e+125   8.27116664e+124  -1.07750013e+125]
beta :[  1.01113466e+125  -7.93857037e+124   1.03417220e+125] and der [  2.51453913e+126  -1.97420251e+126   2.57183002e+126]
beta :[ -2.41342567e+126   1.89481681e+126  -2.46841280e+126] and der [ -6.00182500e+127   4.71212312e+127  -6.13856970e+127]
beta :[  5.76048243e+127  -4.52264144e+127   5.89172842e+127] and der [  1.43254495e+129  -1.12471260e+129   1.46518384e+129]
beta :[ -1.37494012e+129   1.07948618e+129  -1.40626656e+129] and der [ -3.41926836e+130   2.68451904e+130  -3.49717247e+130]
beta :[  3.28177434e+130  -2.57657042e+130   3.35654581e+130] and der [  8.16127697e+131  -6.40754136e+131   8.34722231e+131]
beta :[ -7.83309953e+131   6.14988432e+131  -8.01156773e+131] and der [ -1.94797351e+133   1.52938331e+133  -1.99235585e+133]
beta :[  1.86964251e+133  -1.46788447e+133   1.91224017e+133] and der [  4.64951845e+134  -3.65040690e+134   4.75545240e+134]
beta :[ -4.46255420e+134   3.50361846e+134  -4.56422838e+134] and der [ -1.10976981e+136   8.71296976e+135  -1.13505464e+136]
beta :[  1.06514427e+136  -8.36260791e+135   1.08941236e+136] and der [  2.64885286e+137  -2.07965424e+137   2.70920394e+137]
10,100,-2.54233843414e+137,1.99602816183e+137,-2.60026270079e+137
beta :[ 0.  0.  0.] and der [-0.85523943  0.67923942 -0.76071778]
beta :[ 0.85523943 -0.67923942  0.76071778] and der [ 0.73555996 -0.5794752   0.82666817]
beta :[ 0.11967947 -0.09976423 -0.06595039] and der [-0.74019834  0.57328536 -0.70693156]
beta :[ 0.85987781 -0.67304958  0.64098117] and der [ 0.65839782 -0.52829221  0.70872283]
beta :[ 0.20147999 -0.14475737 -0.06774166] and der [-0.64868053  0.49583424 -0.63720686]
beta :[ 0.85016052 -0.64059161  0.5694652 ] and der [ 0.58412049 -0.47326087  0.61810753]
beta :[ 0.26604003 -0.16733074 -0.04864233] and der [-0.57159124  0.43343456 -0.56737888]
beta :[ 0.83763127 -0.60076529  0.51873655] and der [ 0.51625791 -0.42099902  0.54311208]
beta :[ 0.32137335 -0.17976628 -0.02437552] and der [-0.5048872   0.38056764 -0.50264978]
beta :[ 0.82626055 -0.56033392  0.47827425] and der [ 0.45549658 -0.37347432  0.47874755]
beta :[ 0.37076397 -0.18685959 -0.00047329] and der [-0.4464793   0.33472257 -0.44435145]
beta :[ 0.81724327 -0.52158216  0.44387816] and der [ 0.40153977 -0.33098446  0.42259639]
beta :[ 0.4157035  -0.19059769  0.02128177] and der [-0.39507295  0.29455957 -0.39244832]
beta :[ 0.81077646 -0.48515726  0.41373008] and der [ 0.35379001 -0.29325741  0.37326219]
beta :[ 0.45698645 -0.19189986  0.0404679 ] and der [-0.3497293   0.2592215  -0.34645881]
beta :[ 0.80671575 -0.45112136  0.38692671] and der [ 0.3115951  -0.2598542   0.32978609]
beta :[ 0.49512065 -0.19126715  0.05714062] and der [-0.30969517  0.22807251 -0.30579047]
beta :[ 0.80481582 -0.41933966  0.36293109] and der [ 0.27433278 -0.2303134   0.29142322]
beta :[ 0.53048304 -0.18902625  0.07150787] and der [-0.27433362  0.20059605 -0.26985796]
beta :[ 0.80481666 -0.3896223   0.34136583] and der [ 0.24143634 -0.20420007  0.25755363]
beta :[ 0.56338032 -0.18542223  0.0838122 ] and der [-0.24309262  0.17635268 -0.23812128]
beta :[ 0.80647294 -0.36177491  0.32193347] and der [ 0.21239893 -0.1811199   0.2276439 ]
beta :[ 0.59407401 -0.180655    0.09428958] and der [-0.21548856  0.15496052 -0.21009499]
beta :[ 0.80956257 -0.33561552  0.30438457] and der [ 0.18677058 -0.16072092  0.20122815]
beta :[ 0.62279199 -0.1748946   0.10315642] and der [-0.1910958   0.13608466 -0.18534723]
beta :[ 0.81388778 -0.31097926  0.28850365] and der [ 0.16415304 -0.14269084  0.17789693]
beta :[ 0.64973474 -0.16828842  0.11060672] and der [-0.16953896  0.11943017 -0.16349539]
beta :[ 0.8192737  -0.2877186   0.27410211] and der [ 0.14419427 -0.12675339  0.15728935]
beta :[ 0.67507943 -0.16096521  0.11681276] and der [-0.15048675  0.10473695 -0.14420119]
beta :[ 0.82556618 -0.26570216  0.26101395] and der [ 0.12658329 -0.11266436  0.13908698]
beta :[ 0.69898289 -0.1530378   0.12192697] and der [-0.13364668  0.09177539 -0.1271657 ]
beta :[ 0.83262957 -0.24481319  0.24909267] and der [ 0.11104541 -0.10020802  0.12300868]
beta :[ 0.72158416 -0.14460517  0.12608399] and der [-0.11876044  0.08034279 -0.11212487]
beta :[ 0.84034459 -0.22494797  0.23820886] and der [ 0.09733805 -0.08919383  0.10880623]
beta :[ 0.74300654 -0.13575414  0.12940262] and der [-0.10559993  0.07026017 -0.09884551]
beta :[ 0.84860647 -0.20601431  0.22824813] and der [ 0.08524697 -0.07945348  0.09626045]
beta :[ 0.76335951 -0.12656082  0.13198768] and der [-0.09396373  0.06136945 -0.08712166]
beta :[ 0.85732323 -0.18793027  0.21910934] and der [ 0.07458297 -0.07083837  0.08517774]
beta :[ 0.78274026 -0.1170919   0.1339316 ] and der [-0.08367392  0.05353106 -0.07677145]
beta :[ 0.86641418 -0.17062297  0.21070305] and der [ 0.065179   -0.06321721  0.07538716]
beta :[ 0.80123518 -0.10740576  0.13531589] and der [-0.07457341  0.04662175 -0.06763426]
beta :[ 0.87580859 -0.15402751  0.20295015] and der [ 0.0568875  -0.05647408  0.06673775]
beta :[ 0.81892109 -0.09755342  0.1362124 ] and der [-0.06652344  0.04053267 -0.05956824]
beta :[ 0.88544453 -0.13808609  0.19578064] and der [ 0.04957819 -0.05050661  0.05909618]
beta :[ 0.83586634 -0.08757948  0.13668446] and der [-0.05940147  0.03516771 -0.05244812]
beta :[ 0.89526781 -0.12274719  0.18913258] and der [ 0.04313602 -0.04522437  0.05234471]
beta :[ 0.85213179 -0.07752281  0.13678787] and der [-0.05309929  0.03044198 -0.04616329]
beta :[ 0.90523108 -0.10796479  0.18295116] and der [ 0.03745937 -0.04054751  0.04637936]
beta :[ 0.86777171 -0.06741728  0.1365718 ] and der [-0.04752132  0.02628053 -0.04061605]
beta :[ 0.91529303 -0.09369781  0.17718785] and der [ 0.03245854 -0.0364055   0.04110831]
beta :[ 0.88283449 -0.05729231  0.13607954] and der [-0.04258316  0.02261718 -0.03572013]
beta :[ 0.92541765 -0.07990949  0.17179967] and der [ 0.02805429 -0.03273605  0.03645045]
beta :[ 0.89736336 -0.04717344  0.13534922] and der [-0.03821024  0.01939348 -0.03139935]
beta :[ 0.93557361 -0.06656692  0.16674857] and der [ 0.02417665 -0.02948416  0.03233418]
beta :[ 0.91139696 -0.03708276  0.13441439] and der [-0.03433675  0.01655782 -0.02758642]
beta :[ 0.94573371 -0.05364059  0.16200081] and der [ 0.02076384 -0.02660123  0.02869624]
beta :[ 0.92496987 -0.02703936  0.13330457] and der [-0.03090452  0.01406463 -0.02422193]
beta :[ 0.95587439 -0.04110399  0.1575265 ] and der [ 0.01776131 -0.02404436  0.02548079]
beta :[ 0.93811309 -0.01705962  0.13204572] and der [-0.02786221  0.01187366 -0.02125342]
beta :[ 0.9659753  -0.02893329  0.15329914] and der [ 0.01512088 -0.02177565  0.02263848]
beta :[ 0.95085442 -0.00715764  0.13066066] and der [-0.02516446  0.00994938 -0.01863454]
beta :[ 0.97601887 -0.01710702  0.14929519] and der [ 0.01280001 -0.01976162  0.02012576]
beta :[ 0.96321886  0.0026546   0.12916943] and der [-0.0227712   0.00826041 -0.01632437]
beta :[ 0.98599006 -0.00560582  0.14549381] and der [ 0.01076114 -0.01797271  0.01790415]
beta :[ 0.97522893  0.01236689  0.12758965] and der [-0.02064706  0.00677905 -0.01428679]
beta :[ 0.99587599  0.00558784  0.14187644] and der [ 0.00897109 -0.0163828   0.01593969]
beta :[ 0.98690489  0.02197063  0.12593675] and der [-0.01876079  0.00548083 -0.01248988]
beta :[ 1.00566568  0.0164898   0.13842663] and der [ 0.00740059 -0.01496883  0.01420235]
beta :[ 0.99826509  0.03145863  0.12422428] and der [-0.01708478  0.00434415 -0.01090546]
beta :[ 1.01534987  0.02711447  0.13512974] and der [ 0.00602376 -0.01371042  0.01266564]
beta :[ 1.00932611  0.04082489  0.12246409] and der [-0.01559465  0.00334995 -0.00950864]
beta :[ 1.02492076  0.03747495  0.13197273] and der [ 0.00481778 -0.01258959  0.01130617]
beta :[ 1.02010298  0.05006454  0.12066657] and der [-0.01426889  0.00248137 -0.00827746]
beta :[ 1.03437186  0.04758316  0.12894403] and der [ 0.00376249 -0.01159043  0.01010325]
beta :[ 1.03060937  0.0591736   0.11884078] and der [-0.01308845  0.00172356 -0.00719251]
beta :[ 1.04369782  0.05745003  0.12603329] and der [ 0.00284008 -0.01069891  0.00903864]
beta :[ 1.04085774  0.06814895  0.11699465] and der [-0.01203655  0.00106339 -0.00623665]
beta :[ 1.05289429  0.06708555  0.1232313 ] and der [ 0.00203483 -0.00990262  0.00809621]
beta :[ 1.05085946  0.07698817  0.11513509] and der [-0.01109834  0.00048927 -0.00539474]
beta :[ 1.06195779  0.0764989   0.12052983] and der [ 0.00133288 -0.0091906   0.00726172]
beta :[ 1.06062491  0.0856895   0.11326811] and der [ -1.02607059e-02  -9.02580948e-06  -4.65342593e-03]
beta :[ 1.07088562  0.08569853  0.11792153] and der [ 0.00072196 -0.00855318  0.00652261]
beta :[ 1.07016366  0.0942517   0.11139892] and der [-0.00951208 -0.00044054 -0.00400091]
beta :[ 1.07967573  0.09469224  0.11539983] and der [ 0.00019127 -0.0079818   0.00586777]
beta :[ 1.07948446  0.10267404  0.10953206] and der [-0.00884222 -0.00081323 -0.00342676]
beta :[ 1.08832668  0.10348726  0.11295883] and der [-0.00026874 -0.0074689   0.00528738]
beta :[ 1.08859543  0.11095616  0.10767145] and der [-0.0082421  -0.00113414 -0.00292179]
beta :[ 1.09683753  0.1120903   0.11059324] and der [-0.00066651 -0.00700782  0.00477278]
beta :[ 1.09750404  0.11909812  0.10582045] and der [-0.00770373 -0.00140948 -0.00247786]
beta :[ 1.10520776  0.1205076   0.10829831] and der [-0.00100947 -0.00659265  0.00431634]
beta :[ 1.10621723  0.12710025  0.10398198] and der [-0.00722004 -0.00164474 -0.00208781]
beta :[ 1.11343727  0.12874499  0.10606979] and der [-0.00130419 -0.00621818  0.00391127]
beta :[ 1.11474146  0.13496316  0.10215851] and der [-0.00678482 -0.00184475 -0.00174529]
beta :[ 1.12152629  0.13680791  0.1039038 ] and der [-0.00155646 -0.0058798   0.00355163]
beta :[ 1.12308275  0.14268772  0.10035217] and der [-0.00639256 -0.00201378 -0.00144472]
beta :[ 1.1294753   0.1447015   0.10179689] and der [-0.00177141 -0.00557345  0.00323214]
beta :[ 1.13124671  0.15027495  0.09856475] and der [-0.00603837 -0.0021556  -0.00118115]
beta :[ 1.13728509  0.15243055  0.0997459 ] and der [-0.00195354 -0.00529553  0.00294813]
beta :[ 1.13923863  0.15772609  0.09679777] and der [-0.00571798 -0.00227354 -0.00095022]
beta :[ 1.1449566   0.15999963  0.09774799] and der [-0.00210685 -0.00504286  0.00269551]
beta :[ 1.14706345  0.16504249  0.09505248] and der [-0.00542756 -0.00237053 -0.00074808]
beta :[ 1.15249101  0.16741301  0.09580057] and der [-0.00223484 -0.00481262  0.00247063]
beta :[ 1.15472585  0.17222564  0.09332994] and der [-0.00516377 -0.00244915 -0.00057134]
beta :[ 1.15988962  0.17467479  0.09390128] and der [-0.00234062 -0.00460234  0.00227029]
beta :[ 1.16223024  0.17927713  0.09163099] and der [-0.00492363 -0.00251169 -0.00041698]
beta :[ 1.16715387  0.18178882  0.09204797] and der [-0.00242693 -0.00440981  0.00209165]
beta :[ 1.16958079  0.18619863  0.08995632] and der [-0.00470452 -0.00256016 -0.00028236]
beta :[ 1.17428531  0.18875879  0.09023869] and der [-0.00249617 -0.00423309  0.00193221]
beta :[ 1.17678149  0.19299188  0.08830648] and der [-0.00450411 -0.00259634 -0.00016514]
beta :[ 1.1812856   0.19558822  0.08847162] and der [-0.00255049 -0.00407047  0.00178976]
beta :[ 1.18383609  0.19965869  0.08668186] and der [ -4.32036199e-03  -2.62179590e-03  -6.32563609e-05]
beta :[ 1.18815645  0.20228049  0.08674512] and der [-0.00259175 -0.00392042  0.00166234]
beta :[ 1.19074819  0.2062009   0.08508277] and der [ -4.15144821e-03  -2.63790120e-03   2.51213036e-05]
beta :[ 1.19489964  0.20883881  0.08505765] and der [-0.00262161 -0.00378159  0.00154824]
beta :[ 1.19752125  0.2126204   0.08350941] and der [-0.00399577 -0.00264587  0.0001016 ]
beta :[ 1.20151702  0.21526627  0.08340781] and der [-0.00264154 -0.00365281  0.00144591]
beta :[ 1.20415856  0.21891908  0.0819619 ] and der [-0.0038519  -0.00264679  0.0001676 ]
beta :[ 1.20801045  0.22156587  0.0817943 ] and der [-0.00265281 -0.00353301  0.00135403]
beta :[ 1.21066326  0.22509888  0.08044027] and der [-0.00371858 -0.00264159  0.00022438]
beta :[ 1.21438185  0.22774046  0.08021589] and der [-0.00265656 -0.00342126  0.00127139]
beta :[ 1.21703841  0.23116172  0.07894451] and der [-0.00359471 -0.0026311   0.00027304]
beta :[ 1.22063312  0.23379282  0.07867147] and der [-0.0026538  -0.00331674  0.00119694]
beta :[ 1.22328692  0.23710955  0.07747453] and der [-0.0034793  -0.00261606  0.00031456]
beta :[ 1.22676622  0.23972561  0.07715997] and der [-0.0026454  -0.00321871  0.00112976]
beta :[ 1.22941162  0.24294432  0.07603021] and der [-0.00337147 -0.00259711  0.00034981]
beta :[ 1.23278308  0.24554143  0.0756804 ] and der [-0.00263213 -0.00312653  0.00106902]
beta :[ 1.23541521  0.24866795  0.07461138] and der [-0.00327045 -0.00257482  0.00037954]
beta :[ 1.23868567  0.25124277  0.07423184] and der [-0.00261468 -0.00303962  0.001014  ]
beta :[ 1.24130035  0.25428239  0.07321784] and der [-0.00317557 -0.00254968  0.00040443]
beta :[ 1.24447592  0.25683207  0.07281341] and der [-0.00259365 -0.00295747  0.00096406]
beta :[ 1.24706956  0.25978954  0.07184935] and der [-0.00308621 -0.00252214  0.00042507]
beta :[ 1.25015577  0.26231168  0.07142428] and der [-0.00256956 -0.00287963  0.00091862]
beta :[ 1.25272533  0.26519131  0.07050566] and der [-0.00300183 -0.00249258  0.00044198]
beta :[ 1.25572715  0.26768389  0.07006369] and der [-0.00254288 -0.0028057   0.00087719]
beta :[ 1.25827003  0.27048959  0.06918649] and der [-0.00292196 -0.00246133  0.00045562]
beta :[ 1.26119199  0.27295092  0.06873087] and der [-0.00251402 -0.00273532  0.00083933]
