beta :[ 0.25485683 -0.20259332  0.21511456] and der [-0.00249037  0.00198037 -0.00191695]
beta :[ 0.2573472  -0.20457369  0.21703151] and der [-0.00246189  0.00195767 -0.0018892 ]
beta :[ 0.25980909 -0.20653136  0.21892071] and der [-0.00243376  0.00193525 -0.00186181]
beta :[ 0.26224285 -0.20846661  0.22078252] and der [-0.00240598  0.0019131  -0.00183476]
beta :[ 0.26464883 -0.21037972  0.22261729] and der [-0.00237854  0.00189122 -0.00180807]
beta :[ 0.26702736 -0.21227094  0.22442535] and der [-0.00235143  0.00186961 -0.00178171]
beta :[ 0.26937879 -0.21414055  0.22620706] and der [-0.00232466  0.00184826 -0.00175569]
beta :[ 0.27170346 -0.21598881  0.22796275] and der [-0.00229822  0.00182716 -0.00173   ]
beta :[ 0.27400167 -0.21781597  0.22969275] and der [-0.0022721   0.00180633 -0.00170464]
beta :[ 0.27627377 -0.21962229  0.23139739] and der [-0.0022463   0.00178574 -0.00167961]
beta :[ 0.27852007 -0.22140803  0.233077  ] and der [-0.00222082  0.0017654  -0.00165489]
beta :[ 0.28074089 -0.22317344  0.23473189] and der [-0.00219565  0.00174531 -0.0016305 ]
beta :[ 0.28293654 -0.22491875  0.23636239] and der [-0.00217079  0.00172547 -0.00160641]
beta :[ 0.28510734 -0.22664422  0.2379688 ] and der [-0.00214624  0.00170586 -0.00158263]
beta :[ 0.28725357 -0.22835008  0.23955143] and der [-0.00212198  0.00168649 -0.00155916]
beta :[ 0.28937556 -0.23003658  0.2411106 ] and der [-0.00209803  0.00166736 -0.00153599]
beta :[ 0.29147358 -0.23170393  0.24264659] and der [-0.00207436  0.00164846 -0.00151312]
beta :[ 0.29354795 -0.23335239  0.2441597 ] and der [-0.00205099  0.00162978 -0.00149054]
beta :[ 0.29559894 -0.23498217  0.24565024] and der [-0.00202791  0.00161133 -0.00146825]
beta :[ 0.29762684 -0.2365935   0.24711848] and der [-0.0020051   0.00159311 -0.00144624]
beta :[ 0.29963194 -0.23818661  0.24856473] and der [-0.00198258  0.0015751  -0.00142452]
beta :[ 0.30161452 -0.23976171  0.24998924] and der [-0.00196033  0.00155731 -0.00140308]
beta :[ 0.30357485 -0.24131903  0.25139232] and der [-0.00193836  0.00153974 -0.00138191]
beta :[ 0.30551321 -0.24285877  0.25277423] and der [-0.00191665  0.00152238 -0.00136101]
beta :[ 0.30742986 -0.24438115  0.25413524] and der [-0.00189521  0.00150523 -0.00134039]
beta :[ 0.30932507 -0.24588638  0.25547562] and der [-0.00187403  0.00148828 -0.00132002]
beta :[ 0.3111991  -0.24737466  0.25679565] and der [-0.00185311  0.00147154 -0.00129992]
beta :[ 0.31305222 -0.24884621  0.25809557] and der [-0.00183245  0.00145501 -0.00128008]
beta :[ 0.31488467 -0.25030122  0.25937565] and der [-0.00181204  0.00143867 -0.0012605 ]
beta :[ 0.31669671 -0.25173988  0.26063615] and der [-0.00179188  0.00142253 -0.00124116]
beta :[ 0.3184886  -0.25316241  0.26187731] and der [-0.00177197  0.00140658 -0.00122208]
beta :[ 0.32026057 -0.25456899  0.26309939] and der [-0.0017523   0.00139082 -0.00120324]
beta :[ 0.32201287 -0.25595981  0.26430264] and der [-0.00173287  0.00137526 -0.00118465]
0.005,100,0.323745741435,-0.257335066672,0.26548728066
beta :[ 0.  0.  0.] and der [-0.01096461  0.0087082  -0.00975279]
beta :[ 0.01096461 -0.0087082   0.00975279] and der [-0.01070314  0.00850131 -0.00949188]
beta :[ 0.02166774 -0.01720951  0.01924467] and der [-0.01044812  0.0082995  -0.00923755]
beta :[ 0.03211587 -0.02550901  0.02848222] and der [-0.01019942  0.00810265 -0.00898962]
beta :[ 0.04231528 -0.03361166  0.03747184] and der [-0.00995685  0.00791063 -0.00874795]
